OPPONENT_ABBREV,POSITION,OPP_ALLOW_PTS,OPP_ALLOW_REB,OPP_ALLOW_AST
ATL,C,11.329113924050633,7.139240506329114,2.0316455696202533
ATL,F,10.223021582733812,4.183453237410072,2.1366906474820144
ATL,G,11.994047619047619,3.2757936507936507,3.2936507936507935
BKN,C,11.381294964028777,7.122302158273381,1.8776978417266188
BKN,F,9.246503496503497,3.9195804195804196,1.9283216783216783
BKN,G,10.808510638297872,3.044487427466151,3.172147001934236
BOS,C,10.228070175438596,7.456140350877193,1.7426900584795322
BOS,F,8.743676222596964,3.794266441821248,1.6104553119730185
BOS,G,10.935714285714285,3.2696428571428573,2.9875
CHA,C,11.117283950617283,7.1419753086419755,2.154320987654321
CHA,F,9.463898916967509,3.92057761732852,2.0415162454873648
CHA,G,11.403809523809525,3.156190476190476,3.072380952380952
CHI,C,12.43558282208589,7.631901840490798,2.2822085889570554
CHI,F,9.694642857142858,4.1625,1.980357142857143
CHI,G,11.4438202247191,3.147940074906367,3.2827715355805243
CLE,C,10.037267080745341,7.055900621118012,1.813664596273292
CLE,F,9.10204081632653,3.9811616954474096,1.8131868131868132
CLE,G,11.246869409660107,2.9409660107334528,3.046511627906977
DAL,C,11.804054054054054,7.75,2.195945945945946
DAL,F,9.9245960502693,4.18491921005386,1.9892280071813286
DAL,G,11.183397683397683,3.4266409266409266,3.0945945945945947
DEN,C,11.073033707865168,6.926966292134831,1.8707865168539326
DEN,F,9.356902356902356,3.8047138047138045,2.0033670033670035
DEN,G,11.420967741935485,2.9370967741935483,3.2758064516129033
DET,C,11.147435897435898,7.128205128205129,2.1923076923076925
DET,F,8.864818024263432,3.752166377816291,1.6741767764298094
DET,G,11.646098003629763,3.0635208711433757,2.8185117967332123
GSW,C,10.080213903743315,7.55614973262032,2.0053475935828877
GSW,F,9.407407407407407,3.9646464646464645,1.936026936026936
GSW,G,11.03904923599321,3.193548387096774,2.9083191850594226
GUA,C,10.75,3.25,1.75
GUA,F,8.344827586206897,3.5172413793103448,1.8275862068965518
GUA,G,8.461538461538462,2.6923076923076925,3.6153846153846154
HAP,C,9.0,6.5,0.5
HAP,F,6.111111111111111,3.0,1.8888888888888888
HAP,G,8.333333333333334,2.0,2.1666666666666665
